Column1,Column2.1,Column2.2
AUTOBAY KOPI PLACE,1 KAKI BUKIT AVE 6, 417883
AYER RAJAH FOOD CENTRE,503 WEST COAST DR, 120503
AYER RAJAH MARKET,502 WEST COAST DR, 120502
AYZA'S RESTAURANT,508 JURONG WEST ST 52, 640508
BADALING (155),155 BUKIT BATOK ST 11, 650155
BADALING (207),207 BUKIT BATOK ST 21, 650207
BADALING (257),257 BANGKIT RD, 670257
BADALING (416),416 PANDAN GARDENS, 600416
BADALING (449),449 CLEMENTI AVE 3, 120449
BADALING (506),506 BUKIT BATOK ST 52, 650506
BADALING (526),526 JURONG WEST ST 52, 640526
BADALING (573),573 WOODLANDS DR 16, 730573
BADALING (635C),635C SENJA RD, 673635
BADALING (851),851 JURONG WEST ST 81, 640851
BADALING (AMK 347),347 ANG MO KIO AVE 3, 560347
BADALING (AMK 446),446 ANG MO KIO AVE 10, 560446
BADALING (BUKIT BATOK 233),233 BUKIT BATOK EAST AVE 5, 650233
BADALING (CHAI CHEE 36),36 CHAI CHEE AVE, 461036
BADALING (NEW UPP CHANGI 59),59 NEW UPPER CHANGI RD, 461059
BADALING (SERANGOON 326),326 SERANGOON AVE 3, 550326
BADALING (WOODLANDS 167),167 WOODLANDS ST 11, 730167
BAI SHENG FOOD COURT,888 WOODLANDS DR 50, 730888
BAN KEE GUAN,5 JALAN MINYAK, 161005
BANANA FNB PTE LTD,1 BEACH RD, 190001
BB289 FOOD HOUSE,289H BUKIT BATOK ST 25, 657289
BEDOK 538 MARKET N FOOD CENTRE,538 BEDOK NORTH ST 3, 460538
BEDOK FOOD CENTRE,1 BEDOK RD, 469572
BEDOK INTERCHANGE HAWKER CENTRE,208B NEW UPPER CHANGI RD, 462208
BEE HWA YUN,177 TOA PAYOH CENTRAL, 310177
BEE KEONG RESTAURANT,5058 ANG MO KIO IND PARK 2, 569561
BELIEVE CATERING,51 CIRCUIT RD, 370051
BENDEMEER FOOD CENTRE,29 BENDEMEER RD, 330029
BEO CRESCENT FOOD CENTRE,38A BEO CRES, 169982
BERSEH FOOD CENTRE,166 JALAN BESAR, 208877
BEST CAFÉ,291 YISHUN ST 22, 760291
BEST COFFEESHOP,959 JURONG WEST ST 92, 640959
BESTASSET PROPERTIES INVESTMENT PTE LTD,17 BEACH RD, 190017
BGAIN 10 EATING HOUSE,10 TELOK BLANGAH CRES, 090010
BGAIN 107 EATING HOUSE,107 SERANGOON NORTH AVE 1, 550107
BGAIN 121 EATING HOUSE,121 HOUGANG AVE 1, 530121
BGAIN 130 EATING HOUSE,130 JURONG GATEWAY RD, 600130
BGAIN 221 EATING HOUSE,221 BOON LAY PLACE, 640221
BGAIN 261 EATING HOUSE,261 WATERLOO ST, 180261
BGAIN 293 EATING HOUSE,293 YISHUN ST 22, 760293
BGAIN 463 EATING HOUSE,463 SEMBAWANG DR, 750463
BGAIN 630 EATING HOUSE,630 ANG MO KIO AVE 4, 560630
BGAIN 681 EATING HOUSE,681 HOUGANG AVE 8, 530681
BGAIN 91 EATING HOUSE,91 TELOK BLANGAH ST 31, 100091
BISHAN CAFETERIA,514 BISHAN ST 13, 570514
BISTRO 8,31 KELANTAN LN, 200031
BISTRO 8,442 CLEMENTI AVE 3, 120442
BK KALLANG,63 KALLANG BAHRU, 330063
BLK 90 WHAMPOA MAKAN PLACE,90 WHAMPOA DR, 320090
BLK 91 WHAMPOA MAKAN PLACE,91 WHAMPOA DR, 320091
BLK 92 WHAMPOA MAKAN PLACE,92 WHAMPOA DR, 320092
BLOCK 511 MARKET AND FOOD CENTRE,511 BEDOK NORTH ST 3, 460511
BOON LAY PLACE FOOD VILLAGE,221B BOON LAY PLACE, 642221
BOON LAY PLACE MARKET,221A BOON LAY PLACE, 641221
BOON LEE EATING HOUSE,86 BEDOK NORTH ST 4, 460086
BREW CAFÉ,326 WOODLANDS ST 32, 730326
BREW CAFÉ 171,171 YISHUN AVE 7, 760171
BROADWAY (115C),115C ALKAFF CRES, 343115
BROADWAY (147),147 POTONG PASIR AVE 1, 350147
BROADWAY (155),155 BUKIT BATOK ST 11, 650155
BROADWAY (19),19 MARSILING LN, 730019
BROADWAY (286),286E TOH GUAN RD, 605286
BROADWAY (334A),334A SEMBAWANG CLOSE, 751334
BROADWAY (414),414 YISHUN RING RD, 760414
BROADWAY (60),60 GUL LN, 629437
BROADWAY (612),612 PUNGGOL DR, 820612
BROADWAY (644),644 HOUGANG AVE 8, 530644
BROADWAY (668A),668A CHOA CHU KANG CRES, 681668
BROADWAY (682),682 HOUGANG AVE 4, 530682
BROADWAY (727),727 ANG MO KIO AVE 6, 560727
BROADWAY (760),760 BEDOK RESERVOIR VIEW, 470760
BROADWAY (760A),760A BEDOK RESERVOIR VIEW, 471760
BROADWAY (848),848 YISHUN ST 81, 760848
BROADWAY (883),883 WOODLANDS ST 82, 730883
BROADWAY 431,431 YISHUN AVE 1, 760431
BROADWAY COFFEESHOP,610 TAMPINES NORTH DR 1, 520610
BUKIT CANBERRA HAWKER CENTRE,21 CANBERRA LINK, 752350
BUKIT MERAH CENTRAL FOOD CENTRE,163 BUKIT MERAH CENTRAL, 150163
BUKIT PANJANG HAWKER CENTRE AND MARKET,2 BUKIT PANJANG RING RD, 679947
BUKIT TIMAH MARKET AND FOOD CENTRE,51 UPPER BUKIT TIMAH RD, 588215
CCK 302 FOODHOUSE,302 CHOA CHU KANG AVE 4, 680302
CHAI HOCK EATING HOUSE,73 LORONG 4 TOA PAYOH, 310073
CHANG CHENG,293 YISHUN ST 22, 760293
CHANG CHENG,682 HOUGANG AVE 4, 530682
CHANG CHENG (109),109 BUKIT BATOK WEST AVE 6, 650109
CHANG CHENG (111),111 TOA PAYOH LORONG 1, 310111
CHANG CHENG (12),12 TELOK BLANGAH CRES, 090012
CHANG CHENG (126),126 LORONG 1 TOA PAYOH, 310126
CHANG CHENG (136),136 MARSILING RD, 730136
CHANG CHENG (166),166 WOODLANDS ST 13, 730166
CHANG CHENG (201),201C TAMPINES ST 21, 523201
CHANG CHENG (211),211 NEW UPPER CHANGI RD, 460211
CHANG CHENG (269),269 QUEEN ST, 180269
CHANG CHENG (27),27 BENDEMEER RD, 330027
CHANG CHENG (324),324 BUKIT BATOK ST 33, 650324
CHANG CHENG (373),373 BUKIT BATOK ST 31, 650373
CHANG CHENG (40),40 HOLLAND DR, 270040
CHANG CHENG (498),498 JURONG WEST ST 41, 640498
CHANG CHENG (59),59 MARINE TERRACE, 440059
CHANG CHENG (75D),75D REDHILL RD, 154075
CHANG CHENG (802),802 TAMPINES AVE 4, 520802
CHANG CHENG (803),803 KING GEORGE'S AVE, 200803
CHANG CHENG (82),82 WHAMPOA DR, 320082
CHANG CHENG (866A),866A TAMPINES ST 83, 521866
CHANG CHENG MEE WAH,354 CLEMENTI AVE 2, 120354
CHANG CHENG MEE WAH COFFEESHOP,818 CHOA CHU KANG AVE 1, 680818
CHANG LONG COFFEESHOP,122 BEDOK NORTH ST 2, 460122
CHANGI VILLAGE HAWKER CENTRE,2 CHANGI VILLAGE RD, 500002
CHENG SAN MARKET & COOKED FOOD CENTRE,527 ANG MO KIO AVE 10, 560527
CHIN BEE FNB,143 TECK WHYE LN, 680143
CHIN SIN HUAN EATING HOUSE,7 JALAN BATU, 431007
CHINATOWN COMPLEX FOOD CENTRE,335 SMITH ST, 050335
CHOH DEE PLACE,824 TAMPINES ST 81, 520824
CHOH DEE PLACE (KIMLY),233 YISHUN ST 21, 760233
CHOICE (215),215 JURONG EAST ST 21, 600215
CHOMP CHOMP FOOD CENTRE,20 KENSINGTON PARK RD, 557269
CHONG BOON MARKET & FOOD CENTRE,453A ANG MO KIO AVE 10, 561453
CHONG HOCK EATING HOUSE,18 GUL ST 3, 629270
CHONG HOCK PTE LTD,71 TUAS AVE 1, 639511
CHONG PANG MARKET,104 YISHUN RING RD, 760104
CHONG PANG MARKET & FOOD CENTRE,105 YISHUN RING RD, 760105
CHOON GUAN COFFEE SHOP,21 OLD AIRPORT RD, 390021
