Column1,Column2.1,Column2.2
YONG LI (116),116 ALJUNIED AVE 2, 380116
YONG LI COFFEE STATION,136 BEDOK NORTH AVE 3, 460136
YONG LI COFFEE STATION,1A EUNOS CRES, 401001
YONG SOON INVESTMENTS PTE LTD,805 HOUGANG CENTRAL, 530805
YU XIANG,237 SERANGOON AVE 3, 550237
YUE HUA EATING HOUSE,118 DEPOT LANE, 109754
YUE HUA FOOD COURT,108 DEPOT RD, 100108
YUEN FUNG RESTAURANT,87 WHAMPOA DR, 320087
YUHUA HAWKER CENTRE,347 JURONG EAST AVE 1, 600347
YUHUA VILLAGE FOOD CENTRE,254 JURONG EAST ST 24, 600254
YUMMY FOOD LINK,111 WOODLANDS ST 13, 730111
YUNG SHENG FOOD COURT,399 YUNG SHENG RD, 610399
YUNG SHENG GROUP,54 TEBAN GARDEN, 600054
YUNG SHENG GROUP (61),61 TEBAN GARDENS RD, 600061
ZAI SHUN SHI GE,253 JURONG EAST ST 24, 600253
ZF 99 PTE LTD,795A YISHUN RING RD, 761795
ZHANG JIA SOON,116 ALJUNIED AVE 2, 380116
ZHI YUAN COFFEE,151A SERANGOON NORTH AVE 2, 551151
ZION RIVERSIDE FOOD CENTRE,70 ZION RD, 247792
